Date,EUR/PLN,USD/PLN,CHF/PLN,EUR/USD,CHF/USD
2023-11-29,4.3327,3.9478,4.5031,1.0975,1.1407
2023-11-30,4.3492,3.981,4.551,1.0925,1.1432
2023-12-01,4.3494,3.991,4.567,1.0898,1.1443
2023-12-04,4.3337,3.985,4.5678,1.0875,1.1462
2023-12-05,4.3233,3.991,4.5689,1.0833,1.1448
2023-12-06,4.3382,4.0202,4.5982,1.0791,1.1438
2023-12-07,4.3334,4.0199,4.6027,1.078,1.145
2023-12-08,4.3303,4.0181,4.5913,1.0777,1.1427
2023-12-11,4.3366,4.0277,4.5824,1.0767,1.1377
2023-12-12,4.3396,4.0204,4.581,1.0794,1.1394
2023-12-13,4.3309,4.0149,4.5827,1.0787,1.1414
2023-12-14,4.3053,3.9484,4.5328,1.0904,1.148
2023-12-15,4.3103,3.9326,4.5374,1.096,1.1538
